"created_date","agency","complaint_type","descriptor","borough","incident_zip","latitude","longitude","location_type","street_name","status","resolution_description"
"2026-03-22T22:29:11.000","DOT","Street Condition","Cave-in","BROOKLYN","11208","40.67645134235577","-73.86433707592776","Street","PITKIN AVENUE","In Progress",
"2026-03-22T22:28:02.000","DOT","Street Condition","Pothole","STATEN ISLAND","10306",,,,"JEFFERSON AVENUE","Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-22T22:26:00.000","DEP","Water System","Leak (Use Comments) (WA2)","BROOKLYN","11220","40.63953146410764","-74.00710547863153",,"54 STREET","Closed","The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-22T22:20:37.000","DOT","Street Condition","Pothole","BRONX","10468",,,,"BEDFORD PARK BOULEVARD","Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-22T22:20:34.000","DOT","Street Condition","Pothole","QUEENS","11101",,,,"29 STREET","Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-22T22:20:04.000","DOT","Street Condition","Pothole","MANHATTAN","10032",,,,"BROADWAY","Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-22T22:19:17.000","DOT","Street Condition","Pothole","MANHATTAN","10032",,,,"BROADWAY","Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-22T22:18:57.000","DOT","Street Condition","Pothole","STATEN ISLAND","10304",,,,"KIMBERLY LANE","Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-22T22:18:32.000","DOT","Street Condition","Pothole","MANHATTAN","10032",,,,"BROADWAY","Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-22T22:16:18.000","DPR","Damaged Tree","Entire Tree Has Fallen Down","QUEENS","11369","40.7615140411734","-73.86182828809318","Street","BUELL STREET","In Progress","NYC Parks created a work order for the tree condition and expects to address the issue within 120 days from the date of the tree assessment, barring any weather-related requests.   NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees."
